"","AR","AR.W","AR.NW","AR.N","AR.E","SP","SP.W","SP.E","DarwinMSLP.Aug","TahitiMSLP.Aug","DMI.Aug","DMIEAST.Aug","DMIWEST.Aug","QBO.Aug","SOI.Aug","Nino1.2.Aug","Nino3.4.Aug","Nino3.Aug","Nino4.Aug","EMI.Aug","DarwinMSLP.Sep","TahitiMSLP.Sep","DMI.Sep","DMIEAST.Sep","DMIWEST.Sep","QBO.Sep","SOI.Sep","Nino1.2.Sep","Nino3.4.Sep","Nino3.Sep","Nino4.Sep","EMI.Sep","DarwinMSLP.Oct","TahitiMSLP.Oct","DMI.Oct","DMIEAST.Oct","DMIWEST.Oct","QBO.Oct","SOI.Oct","Nino1.2.Oct","Nino3.4.Oct","Nino3.Oct","Nino4.Oct","EMI.Oct"
"25",7,4,3,2,2,4,2,2,1014.9,1013.9,0.923,-1.007,-0.084,-27.02,-2,19.98,27.38,24.86,29.5,1.0836,1013.5,1013,0.635,-0.903,-0.268,-19.07,-2.6,20.58,27.2,24.85,29.3,0.770721,1011.9,1012.5,0.867,-0.713,0.154,-10.29,-1.9,21.81,27.47,25.5,29.45,0.612265
"26",14,10,6,5,5,9,6,4,1013.2,1015,-0.032,0.095,0.064,9.53,0.5,20.6,26.23,24.21,28.65,0.147742,1012.1,1014.9,-0.074,0.033,-0.041,6.98,0.4,20.44,25.88,23.86,28.41,0.067384,1010.2,1012.9,-0.207,0.205,-0.002,3.43,0,20.46,25.84,23.98,28.31,-0.141575
"27",15,9,5,2,6,15,7,11,1012.6,1015,-0.568,0.213,-0.355,-25.85,1.2,20.14,26.64,24.69,28.47,-0.32758,1010.3,1013.8,-0.606,0.193,-0.413,-26.02,1,20.08,26.27,24.41,28.4,-0.239712,1009.9,1013.5,-0.949,0.393,-0.556,-23.4,1,20.31,26.27,24.39,28.45,-0.106053
"28",11,3,3,3,5,17,6,15,1015.1,1013.7,0.746,-0.521,0.225,11.69,-2.4,24.96,28.75,27.71,29.29,-0.515544,1014.7,1014.6,0.877,-0.568,0.309,11.64,-2.4,24.69,28.85,27.74,29.44,-0.459671,1013.3,1013.4,1.033,-0.647,0.386,9.91,-2.4,24.69,29.08,28.06,29.34,-0.663268
"29",15,11,7,2,4,10,7,8,1012.8,1016,-0.467,0.768,0.301,-24.7,1.9,21.97,25.57,24.45,27.77,-1.28924,1011.7,1015.9,-0.39,0.548,0.158,-22.12,1.7,20.95,25.46,23.95,27.74,-1.07289,1009.7,1014.4,-0.584,0.637,0.053,-18.77,1.8,21.35,25.25,23.99,27.42,-1.17422
"30",13,11,9,2,3,10,4,7,1013.9,1015.9,0.135,-0.181,-0.046,11.91,0.6,20.89,25.63,24.28,27.69,-0.588005,1012.4,1014.7,0.056,-0.05,0.006,11.18,-0.1,19.67,25.63,23.79,27.79,-0.397765,1010.4,1014.8,-0.03,-0.166,-0.197,10.62,1.6,20.15,25.48,23.6,27.79,-0.489776
"31",8,7,8,5,1,6,3,5,1012.3,1014.8,0.243,-0.22,0.023,-15.31,1.2,20.44,26.37,24.64,28.16,-0.220611,1012.1,1016.1,0.01,0.019,0.029,-15.52,1.4,20.5,26.2,24.59,28.27,-0.264982,1009.3,1013.8,0.017,0.021,0.039,-14.04,1.8,20.74,26.02,24.48,28.11,-0.331941
"32",9,6,2,2,2,5,3,4,1013.3,1013.6,-0.189,0.128,-0.061,-21.67,-0.7,20.16,26.8,24.9,28.84,0.246053,1011.8,1014.4,-0.117,0.142,0.024,-14.29,0.3,19.6,26.52,24.31,28.97,0.470373,1010,1012.6,-0.291,0.192,-0.099,-10.81,-0.1,19.88,26.57,24.55,28.95,0.243449
"33",10,5,6,2,3,11,4,10,1013.8,1013.2,-0.096,0.101,0.005,10.6,-1.6,20.74,27.72,25.63,29.43,0.629642,1013.2,1014.3,0.392,0.027,0.419,8.9,-1,20.93,27.81,25.76,29.37,0.573929,1010.8,1012.5,0.565,-0.169,0.395,7.66,-0.6,21.39,27.96,25.97,29.41,0.418591
"34",10,6,3,4,2,4,2,2,1013,1014.4,0.22,-0.06,0.16,-24.64,0.2,21.02,27.11,25.38,28.98,0.0128808,1012.3,1014.3,0.045,0.136,0.181,-22.51,-0.2,20.28,26.99,25.05,28.94,0.253497,1010.4,1013,-0.084,0.195,0.112,-20.34,0,21.25,27.14,25.38,29.12,0.201034
"35",11,7,5,3,3,11,3,9,1013.6,1014.1,-0.02,0.021,0.001,8.74,-0.5,20.26,27.62,25.36,29.34,0.699191,1013.1,1015,0,0.042,0.042,7.29,-0.6,20.46,27.53,25.35,29.45,0.700111,1011.2,1013.5,0.155,-0.073,0.083,8,-0.1,21.16,27.44,25.52,29.46,0.682261
"36",12,7,7,2,5,8,5,5,1013.5,1014.1,-0.233,0.276,0.043,-25.87,-0.6,20.61,26.8,25.3,28.73,-0.0835795,1012,1015,-0.428,0.451,0.023,-27.8,0.6,19.99,26.68,24.82,28.79,0.246924,1010.1,1014.8,-0.276,0.283,0.007,-28.76,2,19.75,26.65,24.64,28.85,0.243497
"37",6,4,3,2,2,8,4,5,1014.6,1013.8,0.341,-0.141,0.2,9.1,-1.7,21.71,27.16,25.51,29.21,0.255514,1013.2,1014.6,0.534,-0.402,0.132,10.2,-1,21.7,27.32,25.73,29.4,0.190181,1013,1013.3,0.736,-0.521,0.215,10.86,-2.1,22.07,27.41,25.86,29.45,0.34894
"38",9,7,6,1,1,5,2,4,1013.3,1015.4,0.349,-0.089,0.26,-27.41,0.7,19.81,26.14,23.94,28.48,0.185856,1011.5,1014.1,0.341,-0.173,0.167,-28.13,0.3,19.75,25.61,23.63,28.11,0.053888,1010.2,1014,0.227,-0.192,0.035,-29.05,1.2,19.5,25.32,23.55,27.91,-0.1112
"39",9,5,4,2,3,8,4,4,1013.5,1016.6,0.237,-0.162,0.074,11.63,1.7,22.4,26.72,25.62,28.04,-0.754728,1011.8,1016.4,0.192,0.079,0.27,11.6,2,21.75,26.47,25.2,28.08,-0.622905,1011,1016.1,0.188,0.024,0.212,11.05,2.1,21.37,26.37,25.07,28.17,-0.569804
"40",8,4,3,3,3,10,3,8,1012.9,1013.9,0.008,0.387,0.395,-14.45,-0.3,21.85,27.42,25.92,29.23,0.109933,1011.3,1014.3,0.003,0.246,0.249,-13.81,0.5,21.23,27.4,25.69,29.33,0.316987,1011.4,1011.9,0.147,0.322,0.469,-11.69,-2,21.34,27.6,25.76,29.68,0.593165
"41",10,6,5,3,4,10,4,8,1012.2,1016.8,0.051,0.258,0.308,1.45,3,19.7,25.47,23.97,27.54,-0.655429,1010.8,1017.3,-0.162,0.16,-0.002,6.58,3.7,19.5,25.12,23.61,27.32,-0.775563,1009.3,1015.2,-0.277,0.375,0.097,10.83,2.9,19.73,25.03,23.5,27.15,-0.785549
"42",7,5,3,2,1,3,1,3,1013.6,1015.6,0.457,-0.197,0.26,-0.49,0.7,20.79,26.21,24.73,28.16,-0.450107,1012.6,1016.9,0.308,-0.167,0.14,-2.3,1.7,19.99,25.92,24.29,28,-0.280744,1010.3,1014.4,0.516,-0.171,0.345,-3.05,1.2,20.24,25.67,23.92,27.86,-0.423127
"43",9,5,5,1,4,8,5,3,1014,1014.9,0.764,-0.332,0.432,-27.93,-0.3,21.07,27.32,25.64,28.86,0.0275151,1012.2,1015,0.559,-0.057,0.502,-26.6,0.4,20.79,27.1,25.24,28.97,0.115553,1010.8,1014.1,0.27,0.132,0.402,-24.51,0.5,20.65,26.98,25,29.07,0.33178
"44",10,4,2,3,4,9,4,6,1013.1,1014.7,-0.082,0.102,0.02,14.66,0.3,19.85,26.47,24.47,28.61,0.161705,1011.6,1014.6,-0.204,0.147,-0.057,13.12,0.5,19.95,26.54,24.58,28.65,0.067877,1010.7,1013.3,-0.009,0.172,0.163,11.69,-0.1,20.27,26.52,24.79,28.72,-0.0526004
"45",9,5,2,2,3,8,5,4,1014.5,1014.4,-0.26,0.323,0.063,-21.64,-1.2,21.9,26.82,25.3,29.04,-0.091476,1013.1,1014.2,-0.039,0.16,0.121,-23.24,-1.2,21.52,27.01,25.27,29.16,0.254987,1011.6,1013.2,0.3,0.027,0.328,-23.86,-1,21.71,27.16,25.56,29.24,0.259465
